x y
318.454108 715.708537
-945.202298 547.985274
970.359602 725.739674
78.661894 868.520710
-252.330167 713.129429
413.469772 959.169960
894.822749 488.267188
-235.445302 650.059421
385.817110 568.175720
204.142625 758.860190
550.515424 421.884914
183.668411 438.211902
-247.640385 593.729503
701.298399 459.027118
-548.529618 502.026776
593.916569 622.698279
993.762013 423.856974
-437.378359 825.544572
420.761950 784.804816
329.284134 504.436516
-170.328934 437.291166
-3.460195 643.995652
898.246051 677.837756
906.363352 521.604580
465.846623 921.729934
-230.639991 758.764221
-919.834542 413.808122
165.867172 939.655862
129.425283 671.767669
-289.634765 434.815706
760.401642 463.761626
249.060266 999.055175
248.031093 919.796442
-408.517177 769.123478
-850.640146 416.166691
-412.588011 593.513581
-530.520383 678.265740
-308.205238 459.410340
696.980718 742.592887
-679.271236 595.525057
-684.271247 670.295402
17.318539 746.706277
206.602000 444.906585
-677.206063 434.405602
270.908650 580.573861
687.881152 713.032749
564.538424 737.128141
-470.867291 544.932862
-370.602075 947.632098
-633.608857 895.440562
-105.053455 666.727530
-346.642767 989.237538
-440.367420 746.960537
863.527817 540.654098
-200.615174 886.354265
-241.153686 670.764499
185.692899 549.981502
-862.986628 973.262519
-589.524676 485.590208
447.236556 707.538031
150.295226 983.155083
-599.534993 788.992373
686.960691 768.802602
-152.539998 681.790223
89.501925 746.668419
55.934768 946.787936
-629.784358 625.732170
-836.620572 537.258864
-71.812754 654.114923
-938.890449 564.157733
-130.031685 666.739506
115.729923 776.509028
277.564259 720.784752
-931.565173 631.265296
419.800895 924.070059
-661.352103 580.209241
186.764946 640.017829
216.129839 710.634109
544.719174 437.094829
-887.452769 538.820332
709.450294 471.091595
-231.431349 459.268022
-200.762078 934.165273
-349.165029 420.033446
110.780221 903.420995
-409.159794 704.360035
-267.759996 468.229865
-301.903343 694.267394
260.448111 759.665032
328.884162 454.129680
984.192673 986.934420
888.722524 791.811264
-299.304276 676.679276
-614.004110 918.254866
839.152277 557.697443
-422.615899 894.377766
101.718855 597.385183
838.648308 964.780319
-819.902956 546.464843
-484.607396 974.266099
-145.904085 706.494979
155.446580 738.747916
799.042790 996.229679
-563.548766 862.590364
934.063769 588.281153
-132.037244 434.723575
569.644846 426.444275
50.467689 887.766382
-337.446294 647.243967
-136.812706 630.497901
435.803202 713.875919
832.424156 935.289380
780.055975 643.552384
-730.587883 762.633338
-760.174489 456.882134
786.904842 601.588767
306.171084 486.905103
-919.443847 546.928318
9.431927 627.382995
788.906931 562.191767
-228.543071 529.359580
-415.896244 780.238667
-531.926860 879.829342
-598.103285 525.108416
-239.387873 937.753715
189.580284 847.425682
-463.228050 721.831484
244.885284 981.979116
609.134620 738.929902
-792.057483 530.613939
458.480615 914.657972
297.180529 917.199591
-50.690753 587.981317
865.824220 596.190527
-807.112641 904.008042
198.213837 695.519672
-532.870582 431.141490
-935.343324 866.811021
159.718528 656.003431
684.396305 567.977129
113.793976 600.104807
679.765980 620.163971
-590.095453 876.875446
242.509774 423.214471
-651.958225 836.001601
-420.920362 923.610676
-962.994129 571.488870
402.992780 794.109556
904.182744 539.131975
498.018670 773.172365
513.454779 445.074260
84.178151 980.053525
-435.874254 765.981974
-510.250306 630.229108
-427.363564 418.341864
926.268820 914.539352
-538.609309 762.125911
74.642827 908.704243
-589.983496 702.769748
-131.917411 404.746503
-715.576055 951.443906
-248.832450 646.422877
587.121254 839.419449
625.631302 490.663167
807.581813 889.139966
80.751468 945.761519
635.726624 866.765477
416.833291 854.273882
-913.582296 643.118514
-708.108039 821.140648
-533.328675 739.276562
-506.597838 750.841811
-659.434514 606.948760
-529.886330 822.539944
-449.077848 496.518207
903.213252 400.908360
-306.658034 737.200511
-405.356124 727.890475
-191.147584 730.496657
-395.525148 816.722056
514.622167 956.496455
-280.512212 966.526185
-750.200857 941.957998
234.365119 762.463772
-288.961093 955.725854
-274.123627 470.167755
-863.023427 604.480905
734.323744 422.038266
-84.207604 723.021910
-844.769230 842.337281
809.842392 508.733502
-436.608238 655.747997
227.755685 458.900774
323.715884 581.932940
-599.950808 868.073567
73.920833 152.620216
538.142866 -138.942719
277.887291 20.125564
786.296491 -34.492679
-878.619225 -40.341499
-648.456908 -64.076810
-167.336282 -199.207532
479.583682 335.804423
785.909585 72.098504
-948.293387 147.052603
-724.873943 -10.636677
-151.825135 396.410125
529.133564 390.335730
48.874375 378.728735
508.962718 199.759143
-660.403113 235.694906
345.454012 0.425533
237.305485 113.663660
-986.307821 -35.987381
480.451048 231.027417
983.470956 266.810534
-743.637286 -151.361468
-278.834479 -67.051916
-617.853469 -77.624304
428.795322 174.459584
-644.265977 235.123069
973.697500 300.618513
-966.001740 -188.662771
-920.407061 -78.729421
608.661064 81.455777
719.584571 27.037109
132.505056 4.236240
508.225362 -161.689289
39.029533 256.801560
171.808945 41.597251
-618.533948 204.573830
6.882927 130.645395
-898.170735 -169.125700
-887.808514 -15.502437
-329.605200 379.266860
261.809514 358.885090
783.955630 26.816036
346.793253 170.602115
370.534081 137.520035
391.489586 298.336426
599.662866 374.619243
321.210334 -154.696608
39.873191 332.814638
-336.527178 137.468375
868.345426 -83.386925
-507.046104 -67.128325
22.412742 223.457830
480.635773 158.056862
-491.662934 151.777644
691.169517 381.096489
76.308844 149.046055
820.272268 -140.119825
-298.587180 -100.038307
870.649765 -138.743723
855.438918 -112.251737
343.129534 -340.957918
279.706364 -271.998818
-255.129097 -222.976569
-674.254068 -358.071335
-220.962383 -303.928702
599.953133 -377.402488
-200.412600 -373.526072
510.238170 -387.199549
-841.405209 -412.883359
253.908328 -452.169567
-177.332068 -549.276046
277.179372 -456.149943
713.113925 -461.297477
527.150066 -445.336210
952.320592 -450.556583
563.074490 -536.323267
20.861914 -749.035863
546.132953 -814.868831
145.631052 -948.224302
907.700670 -780.246135
-656.855391 -612.196271
814.470190 -823.143804
504.438845 -763.614428
-427.649537 -955.611901
